26575879-002,50550785-01,TOP ASSY ERCP SCOPE,4.055,6.055,1.35,1.305,9.1,3.255,8.615,4.19,6.06,4.045,FAIL,gallarb
26575879-003,50550785-01,TOP ASSY ERCP SCOPE,3.865,4.88,3.61,0.45,7.56,3.34,7.135,4.91,5.305,2.815,PASS,gallarb
26575879-004,50550785-01,TOP ASSY ERCP SCOPE,3.515,5.035,1.55,0.67,4.67,4.195,6.34,4.09,5.03,3.465,PASS,gallarb
26575879-005,50550785-01,TOP ASSY ERCP SCOPE,3.995,5.635,0.78,1.89,6.39,3.475,7.85,5.16,5.72,4.43,PASS,gallarb
26575879-007,50550785-01,TOP ASSY ERCP SCOPE,3.47,4.565,0.77,1.025,6.06,4.98,9.15,3.98,4.505,3.465,FAIL,gallarb
26575879-008,50550785-01,TOP ASSY ERCP SCOPE,4.375,6.37,5.845,0.805,3.725,3.54,8.8,3.635,4.745,2.835,FAIL,gallarb
26575879-009,50550785-01,TOP ASSY ERCP SCOPE,3.455,4.76,1.005,0.655,5.77,5.005,8.49,3.855,6.61,5.12,PASS,gallarb
26575879-010,50550785-01,TOP ASSY ERCP SCOPE,3.655,5.565,1.06,0.52,5.89,7.165,7.845,5.005,5.165,3.455,PASS,gallarb
26575879-011,50550785-01,TOP ASSY ERCP SCOPE,3.42,4.895,0.92,1.23,5.68,6.69,7.89,4.485,6.81,3.3,PASS,gallarb
26575879-012,50550785-01,TOP ASSY ERCP SCOPE,4.61,4.955,2.25,0.58,6.275,3.47,8.58,3.59,5.22,3.23,PASS,gallarb
26575879-013,50550785-01,TOP ASSY ERCP SCOPE,4.105,6.555,3.635,0.93,5.08,3.13,8.555,4.345,4.62,2.665,PASS,gallarb
26575879-014,50550785-01,TOP ASSY ERCP SCOPE,3.98,4.655,2.11,1.175,5.655,4.815,6.98,4.465,5.84,3.015,PASS,gallarb
26575879-015,50550785-01,TOP ASSY ERCP SCOPE,3.44,4.27,0.075,0.77,5.765,3.455,8.48,3.885,4.97,3.46,PASS,gallarb
26575879-016,50550785-01,TOP ASSY ERCP SCOPE,4.065,8.145,4.115,0.625,4.165,2.925,7.88,4.365,4.885,2.965,PASS,gallarb
26575879-017,50550785-01,TOP ASSY ERCP SCOPE,4.205,7.29,3.365,0.62,4.86,3.87,8.115,3.08,4.595,2.815,PASS,gallarb
26575879-018,50550785-01,TOP ASSY ERCP SCOPE,4.88,5.35,3.385,0.61,5.19,3.1,8.385,2.995,5.02,3,PASS,gallarb
26575879-019,50550785-01,TOP ASSY ERCP SCOPE,3.23,4.255,2.28,0.76,4.33,3.17,8.295,3.64,5.035,3.85,PASS,gallarb
26575879-020,50550785-01,TOP ASSY ERCP SCOPE,3.455,4.71,1.195,0.77,4.51,3.345,6.295,5.015,4.565,3.46,PASS,gallarb
26575879-021,50550785-01,TOP ASSY ERCP SCOPE,4.37,7.275,2.44,0.715,5.825,2.845,8.2,4.235,5.37,3.735,PASS,gallarb
26575879-022,50550785-01,TOP ASSY ERCP SCOPE,3.36,4.035,2.615,0.82,5.025,3.03,6.975,2.385,4.91,2.395,PASS,gallarb
26575879-023,50550785-01,TOP ASSY ERCP SCOPE,3.455,4.845,1.01,0.84,6.615,7.6,8.78,4.98,5.53,3.455,PASS,chavj11
26575879-024,50550785-01,TOP ASSY ERCP SCOPE,3.12,4.275,1.26,1.09,5.67,3.44,8.12,4.14,5.245,2.125,PASS,chavj11
26575879-025,50550785-01,TOP ASSY ERCP SCOPE,4.905,6.54,2.59,0.465,6.025,3.855,8.83,4.17,5.11,2.765,PASS,chavj11
26575879-026,50550785-01,TOP ASSY ERCP SCOPE,3.455,4.76,1.39,0.55,5.55,8.31,8.235,4.78,4.555,5.5,FAIL,chavj11
26575879-027,50550785-01,TOP ASSY ERCP SCOPE,3.45,5.9,1.155,0.545,5.67,3.335,5.345,4.965,6.555,5.105,PASS,chavj11
26575879-028,50550785-01,TOP ASSY ERCP SCOPE,3.45,5.08,1.375,1.04,6.4,3.56,9.2,4.105,5.145,2.73,FAIL,chavj11
26575879-029,50550785-01,TOP ASSY ERCP SCOPE,3.56,4.565,1.13,0.47,6.02,4.13,7.355,3.955,6.285,4.325,PASS,chavj11
26575879-030,50550785-01,TOP ASSY ERCP SCOPE,4.12,5.025,1.54,0.46,5.165,4.155,5.41,4.715,4.09,2.345,PASS,chavj11
26575879-031,50550785-01,TOP ASSY ERCP SCOPE,2.815,3.785,1.66,1.335,6.31,2.755,7.93,3.46,4.785,2.215,PASS,chavj11
26575879-032,50550785-01,TOP ASSY ERCP SCOPE,4.405,7.005,5.3,0.74,7.91,4.07,7.775,4.185,5.965,3.08,PASS,chavj11
26575879-033,50550785-01,TOP ASSY ERCP SCOPE,4.01,4.685,1.665,1.255,6.885,3.1,8.575,3.885,4.825,2.635,PASS,chavj11
26575879-034,50550785-01,TOP ASSY ERCP SCOPE,3.56,6.205,1.055,0.48,5.885,4.975,7.81,3.8,5.14,3.455,PASS,chavj11
26575879-035,50550785-01,TOP ASSY ERCP SCOPE,4.375,5.375,2.575,0.42,5.64,4.205,7.235,2.825,5.325,2.67,PASS,chavj11
26575879-036,50550785-01,TOP ASSY ERCP SCOPE,2.91,3.42,1.11,0.98,4.225,3.615,7.4,5.185,5.19,3.45,PASS,chavj11
26575879-037,50550785-01,TOP ASSY ERCP SCOPE,2.545,9.1,1.115,0.55,4.64,5.955,5.67,3.96,6.23,5.31,FAIL,chavj11
26575879-038,50550785-01,TOP ASSY ERCP SCOPE,4.34,6.11,5.2,0.555,6.565,3.26,5.535,4.34,4.99,2.485,PASS,chavj11
26575879-039,50550785-01,TOP ASSY ERCP SCOPE,4.565,4.72,2.265,5.93,6.655,4.17,7.69,4.735,6.73,5.135,FAIL,chavj11
26575879-040,50550785-01,TOP ASSY ERCP SCOPE,4.085,6.64,3.22,0.57,6.835,7.57,8.16,3.435,5.44,3.76,PASS,chavj11
