,,,,,,,
Data Point Details,,,,,,,
,,,,,,,
Container,Material,Material Desc,Data Point Desc,Data Point  Value,High Limit,Result,Submitter
26575879-002,50550785-01,TOP ASSY ERCP SCOPE,Rec Down 70,4.055,5.34,PASS,gallarb
26575879-002,50550785-01,TOP ASSY ERCP SCOPE,Rec Down 95,6.055,9.04,PASS,gallarb
26575879-002,50550785-01,TOP ASSY ERCP SCOPE,Rec Elevator Lever Close,1.35,5.34,PASS,gallarb
26575879-002,50550785-01,TOP ASSY ERCP SCOPE,Rec Elevator Lever Open,1.305,5.34,PASS,gallarb
26575879-002,50550785-01,TOP ASSY ERCP SCOPE,Rec Left 90,4.26,9.04,PASS,gallarb
26575879-002,50550785-01,TOP ASSY ERCP SCOPE,Rec L/R Lock Force,3.255,8.34,PASS,gallarb
26575879-002,50550785-01,TOP ASSY ERCP SCOPE,Rec Right 125,8.615,9.04,PASS,gallarb
26575879-002,50550785-01,TOP ASSY ERCP SCOPE,Rec U/D Lock Force,4.19,5.34,PASS,gallarb
26575879-002,50550785-01,TOP ASSY ERCP SCOPE,Rec Up 130,6.06,9.04,PASS,gallarb
26575879-002,50550785-01,TOP ASSY ERCP SCOPE,Rec Up 70,4.045,5.34,PASS,gallarb
26575879-003,50550785-01,TOP ASSY ERCP SCOPE,Rec Down 70,3.865,5.34,PASS,gallarb
26575879-003,50550785-01,TOP ASSY ERCP SCOPE,Rec Down 95,4.88,9.04,PASS,gallarb
26575879-003,50550785-01,TOP ASSY ERCP SCOPE,Rec Elevator Lever Close,3.61,5.34,PASS,gallarb
26575879-003,50550785-01,TOP ASSY ERCP SCOPE,Rec Elevator Lever Open,0.45,5.34,PASS,gallarb
26575879-003,50550785-01,TOP ASSY ERCP SCOPE,Rec Left 90,7.56,9.04,PASS,gallarb
26575879-003,50550785-01,TOP ASSY ERCP SCOPE,Rec L/R Lock Force,3.34,8.34,PASS,gallarb
26575879-003,50550785-01,TOP ASSY ERCP SCOPE,Rec Right 125,7.135,9.04,PASS,gallarb
26575879-003,50550785-01,TOP ASSY ERCP SCOPE,Rec U/D Lock Force,4.91,5.34,PASS,gallarb
26575879-003,50550785-01,TOP ASSY ERCP SCOPE,Rec Up 130,5.305,9.04,PASS,gallarb
26575879-003,50550785-01,TOP ASSY ERCP SCOPE,Rec Up 70,2.815,5.34,PASS,gallarb
26575879-004,50550785-01,TOP ASSY ERCP SCOPE,Rec Down 70,3.515,5.34,PASS,chavj11
26575879-004,50550785-01,TOP ASSY ERCP SCOPE,Rec Down 95,5.035,9.04,PASS,chavj11
26575879-004,50550785-01,TOP ASSY ERCP SCOPE,Rec Elevator Lever Close,1.55,5.34,PASS,chavj11
26575879-004,50550785-01,TOP ASSY ERCP SCOPE,Rec Elevator Lever Open,0.67,5.34,PASS,chavj11
26575879-004,50550785-01,TOP ASSY ERCP SCOPE,Rec Left 90,4.67,9.04,PASS,chavj11
26575879-004,50550785-01,TOP ASSY ERCP SCOPE,Rec L/R Lock Force,4.195,8.34,PASS,chavj11
26575879-004,50550785-01,TOP ASSY ERCP SCOPE,Rec Right 125,6.34,9.04,PASS,chavj11
26575879-004,50550785-01,TOP ASSY ERCP SCOPE,Rec U/D Lock Force,4.09,5.34,PASS,chavj11
26575879-004,50550785-01,TOP ASSY ERCP SCOPE,Rec Up 130,5.03,9.04,PASS,chavj11
26575879-004,50550785-01,TOP ASSY ERCP SCOPE,Rec Up 70,3.465,5.34,PASS,chavj11
26575879-005,50550785-01,TOP ASSY ERCP SCOPE,Rec Down 70,3.995,5.34,PASS,chavj11
26575879-005,50550785-01,TOP ASSY ERCP SCOPE,Rec Down 95,5.635,9.04,PASS,chavj11
26575879-005,50550785-01,TOP ASSY ERCP SCOPE,Rec Elevator Lever Close,0.78,5.34,PASS,chavj11
26575879-005,50550785-01,TOP ASSY ERCP SCOPE,Rec Elevator Lever Open,1.89,5.34,PASS,chavj11
26575879-005,50550785-01,TOP ASSY ERCP SCOPE,Rec Left 90,6.39,9.04,PASS,chavj11
26575879-005,50550785-01,TOP ASSY ERCP SCOPE,Rec L/R Lock Force,3.475,8.34,PASS,chavj11
26575879-005,50550785-01,TOP ASSY ERCP SCOPE,Rec Right 125,7.85,9.04,PASS,chavj11
26575879-005,50550785-01,TOP ASSY ERCP SCOPE,Rec U/D Lock Force,11.16,5.34,FAIL,chavj11
26575879-005,50550785-01,TOP ASSY ERCP SCOPE,Rec Up 130,5.72,9.04,PASS,chavj11
26575879-005,50550785-01,TOP ASSY ERCP SCOPE,Rec Up 70,4.43,5.34,PASS,chavj11
26575879-007,50550785-01,TOP ASSY ERCP SCOPE,Rec Down 70,3.47,5.34,PASS,chavj11
26575879-007,50550785-01,TOP ASSY ERCP SCOPE,Rec Down 95,4.565,9.04,PASS,chavj11
26575879-007,50550785-01,TOP ASSY ERCP SCOPE,Rec Elevator Lever Close,0.77,5.34,PASS,chavj11
26575879-007,50550785-01,TOP ASSY ERCP SCOPE,Rec Elevator Lever Open,1.025,5.34,PASS,chavj11
26575879-007,50550785-01,TOP ASSY ERCP SCOPE,Rec Left 90,6.06,9.04,PASS,chavj11
26575879-007,50550785-01,TOP ASSY ERCP SCOPE,Rec L/R Lock Force,4.98,8.34,PASS,chavj11
26575879-007,50550785-01,TOP ASSY ERCP SCOPE,Rec Right 125,9.01,9.04,PASS,chavj11
26575879-007,50550785-01,TOP ASSY ERCP SCOPE,Rec U/D Lock Force,3.98,5.34,PASS,chavj11
26575879-007,50550785-01,TOP ASSY ERCP SCOPE,Rec Up 130,4.505,9.04,PASS,chavj11
26575879-007,50550785-01,TOP ASSY ERCP SCOPE,Rec Up 70,3.465,5.34,PASS,chavj11
26575879-008,50550785-01,TOP ASSY ERCP SCOPE,Rec Down 70,4.375,5.34,PASS,gallarb
26575879-008,50550785-01,TOP ASSY ERCP SCOPE,Rec Down 95,6.37,9.04,PASS,gallarb
